year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR	CO2	PSRF	Ndep	TS_0cm	TS_10cm	TS_20cm	TS_30cm	TS_40cm	TS_50cm	TS_70cm	TS_90cm	TS_110cm	TS_130cm	TS_150cm	zwt
2011	1	0	-12.85	0.73	90.3	-9999.0	0.0	3.519	0.0	423.65131	95749.9965	-9999	-0.242	0.137974967	0.734	1.356325262	1.951	2.501770513	3.470287815	4.277723311	4.93750272	5.45688406	5.842857187	0.012004554
2011	1	1	-12.8	0.73	91.8	-9999.0	0.0	3.542	0.0	421.95886	95699.852	-9999	-0.243	0.136825571	0.732	1.352770433	1.946	2.496223761	3.46559902	4.274177386	4.934185189	5.45327598	5.838904493	0.012004554
2011	1	2	-12.75	0.72	92.65	-9999.0	0.0	3.68	0.0	420.33026	95599.906	-9999	-0.242	0.135188136	0.731	1.35211991	1.945	2.494518672	3.462218702	4.269894827	4.930171936	5.450140673	5.836651058	0.012004554
2011	1	3	-12.5	0.73	93.6	-9999.0	0.0	1.748	0.0	416.7793	95599.906	-9999	-0.246	0.129637562	0.725	1.345649506	1.938	2.487116635	3.454359995	4.261763087	4.921827327	5.441733755	5.828432085	0.012004554
2011	1	4	-12.3	0.73	93.9	-9999.0	0.0	0.805	0.0	419.44891	95499.969	-9999	-0.242	0.140751091	0.736	1.356366274	1.949	2.498279777	3.465421793	4.27280631	4.933200998	5.453531332	5.840468777	0.012004554
2011	1	5	-12.6	0.72	93.95	-9999.0	0.0	0.598	0.0	417.04752	95499.969	-9999	-0.243	0.13995597	0.732	1.35160224	1.945	2.494464128	3.460234552	4.26633112	4.926736379	5.447906073	5.835968691	0.012004554
2011	1	6	-12.75	0.71	93.35	-9999.0	0.0	1.219	0.0	417.13055	95549.9375	-9999	-0.253	0.121689154	0.714	1.332236766	1.923	2.470967298	3.436774876	4.243473424	4.90326266	5.423225124	5.810220875	0.012004554
2011	1	7	-15.15	0.65	89.75	-9999.0	0.0	1.426	0.0	415.89792	95599.906	-9999	-0.254	0.123586024	0.716	1.334186809	1.925	2.472846368	3.438059173	4.244305565	4.904095795	5.424393952	5.811922984	0.012004554
2011	1	8	-17.25	0.59	88.5	-9999.0	0.0	1.242	0.0	422.20154	95649.879	-9999	-0.292	0.040411504	0.625	1.23695797	1.82	2.362566345	3.324150387	4.130342841	4.790076734	5.309990238	5.696621746	0.012004554
2011	1	9	-18.25	0.6	88.15	-9999.0	0.0	1.38	0.811470297	420.13226	95800.141	-9999	-0.325	0.009558319	0.592	1.20253345	1.785	2.326943145	3.286930001	4.091687791	4.750502945	5.269960624	5.656528541	0.012004554
2011	1	10	-19.0	0.61	87.45	-9999.0	0.0	1.311	6.611980198	414.62695	95950.0585	-9999	-0.334	0.019944354	0.605	1.217195172	1.802	2.345418091	3.306049486	4.110684544	4.769936375	5.290263014	5.677941838	0.012004554
2011	1	11	-18.75	0.64	86.85	-9999.0	0.0	1.656	16.46984158	415.59775	96099.969	-9999	-0.337	0.02720817	0.613	1.225334642	1.811	2.35549319	3.31823595	4.124215512	4.783810475	5.303873425	5.691103642	0.012004554
2011	1	12	-17.3	0.71	85.95	-9999.0	0.0	1.288	41.56531188	412.94092	96099.969	-9999	-0.321	0.059641798	0.652	1.26836562	1.857	2.403449198	3.36794249	4.174414049	4.834285995	5.354541885	5.741972295	0.012004554
2011	1	13	-16.05	0.76	85.4	-9999.0	0.0	1.679	52.29475248	411.95099	96149.9415	-9999	-0.285	0.136932337	0.734	1.354666303	1.95	2.501074157	3.468736325	4.275668362	4.936553297	5.458388675	5.847837892	0.012004554
2011	1	14	-14.45	0.82	85.05	-9999.0	0.0	2.208	56.83297525	411.01852	96249.883	-9999	-0.249	0.180519379	0.779	1.400594968	1.997	2.548775401	3.516820422	4.323536899	4.98406794	5.505413953	5.894221318	0.012004554
2011	1	15	-14.35	0.76	84.65	-9999.0	0.0	2.323	45.65271782	413.24109	96350.0	-9999	-0.231	0.192673266	0.791	1.413238874	2.01	2.56175906	3.529144818	4.335397967	4.996206663	5.518417682	5.908493394	0.012004554
2011	1	16	-14.55	0.76	83.6	-9999.0	0.0	2.415	38.74019307	417.23273	96500.086	-9999	-0.223	0.176433719	0.77	1.38815525	1.98	2.528272292	3.492651846	4.297979271	4.957976644	5.479426279	5.86880876	0.012004554
2011	1	17	-15.25	0.68	84.9	-9999.0	0.0	2.806	14.48624752	416.40884	96650.0	-9999	-0.233	0.145451553	0.736	1.35251258	1.942	2.488452123	3.450995821	4.255821815	4.915884837	5.437722929	5.827595143	0.012004554
2011	1	18	-15.6	0.65	85.8	-9999.0	0.0	2.277	4.057351485	414.12244	96699.969	-9999	-0.277	0.091358202	0.677	1.28975938	1.876	2.419863302	3.37899501	4.182179701	4.841745255	5.363676865	5.753683955	0.012004554
2011	1	19	-15.5	0.67	87.1	-9999.0	0.0	2.415	0.0	417.94803	96799.914	-9999	-0.304	0.0605607	0.643	1.252889398	1.837	2.379886023	3.33941576	4.143555526	4.803219916	5.32467799	5.71399683	0.012004554
2011	1	20	-15.75	0.66	86.35	-9999.0	0.0	2.461	0.0	424.60291	96899.852	-9999	-0.3	0.085014053	0.673	1.28563758	1.872	2.41653806	3.377941134	4.182876502	4.8429239	5.364683866	5.754540455	0.012004554
2011	1	21	-17.05	0.59	86.4	-9999.0	0.0	1.794	0.060108911	428.07727	96950.0	-9999	-0.313	0.060698153	0.645	1.256289776	1.842	2.385982493	3.346344514	4.150594232	4.810358393	5.332014861	5.721713287	0.012004554
2011	1	22	-18.25	0.56	87.9	-9999.0	0.0	1.564	0.0	424.37939	97000.148	-9999	-0.355	-0.011269324	0.568	1.174529596	1.754	2.293476869	3.249934262	4.053215916	4.71251086	5.233987613	5.623683371	0.012004554
2011	1	23	-19.15	0.54	89.2	-9999.0	0.0	1.219	0.060108911	432.31799	97000.148	-9999	-0.379	-0.033275051	0.544	1.150825407	1.732	2.272426006	3.228505004	4.030826539	4.68995562	5.211854371	5.60228479	0.012004554
2011	2	0	-18.0	0.61	89.1	-9999.0	0.0	1.909	0.0	444.89969	97050.117	-9999	-0.394	-0.030313809	0.549	1.155635471	1.737	2.277843955	3.235020411	4.038158991	4.69753849	5.219307714	5.609435905	0.012004554
2011	2	1	-18.5	0.6	87.75	-9999.0	0.0	1.38	0.150272277	443.3222	97100.086	-9999	-0.371	0.028908413	0.619	1.233357693	1.822	2.367843955	3.329353744	4.133610379	4.79372599	5.316286881	5.707595627	0.012004554
2011	2	2	-19.05	0.59	88.0	-9999.0	0.0	1.426	0.150272277	439.06232	97000.148	-9999	-0.375	0.004297629	0.588	1.198118965	1.783	2.32627945	3.285605803	4.089542203	4.749776914	5.272534822	5.663803274	0.012004554
2011	2	3	-19.0	0.63	87.45	-9999.0	0.0	1.679	0.0	437.36984	97050.117	-9999	-0.365	0.02441763	0.609	1.220783959	1.808	2.352180731	3.309879615	4.111679949	4.771449423	5.294870385	5.687269295	0.012004554
2011	2	4	-19.45	0.62	86.5	-9999.0	0.0	1.495	0.0	428.26886	97000.148	-9999	-0.354	0.044490492	0.63	1.240701062	1.827	2.371338617	3.331511651	4.135597706	4.795944842	5.318894599	5.710527366	0.012004554
2011	2	5	-19.7	0.62	87.0	-9999.0	0.0	1.288	0.150272277	428.21136	97000.148	-9999	-0.36	0.021411849	0.603	1.212080207	1.797	2.340299472	3.299086299	4.101975256	4.761002884	5.282773076	5.673653525	0.012004554
2011	2	6	-20.35	0.59	86.45	-9999.0	0.0	1.058	0.060108911	433.33984	97000.148	-9999	-0.356	0.039803629	0.622	1.231945971	1.819	2.363872914	3.323902228	4.127164408	4.786632403	5.308769647	5.699756549	0.012004554
2011	2	7	-22.8	0.47	83.4	-9999.0	0.0	0.851	0.300544554	429.41208	97000.148	-9999	-0.377	-0.00632528	0.573	1.18072724	1.764	2.305694597	3.261894708	4.063577214	4.722787161	5.245480292	5.637347597	0.012004554
2011	2	8	-26.2	0.39	81.5	-9999.0	0.0	0.598	0.510925743	428.8692	96899.852	-9999	-0.451	-0.129075644	0.44	1.039355148	1.613	2.148007588	3.098722861	3.898844902	4.556454536	5.077527139	5.467946546	0.012004554
